raw_venue,normalized_venue
"2016 IEEE 8th International Conference on Biometrics Theory, Applications and Systems (BTAS)","Ieee International Conference On Biometrics Theory, Applications And Systems"
"Biomedical Circuits and Systems, IEEE Transactions","Biomedical Circuits And Systems, Ieee Transactions"
DAMP,Damp
intelligent systems in molecular biology,Intelligent Systems In Molecular Biology
PROCEEDINGS OF THE 2014 44TH EUROPEAN SOLID-STATE DEVICE RESEARCH CONFERENCE (ESSDERC 2014),Proceedings Of The European Solid-State Device Research Conference
Proceedings of the 2003 IEEE/ACM international conference on Computer-aided design,Proceedings Of The Ieee/Acm International Conference On Computer-Aided Design
QUEUEING SYSTEMS,Queueing Systems
"SECOND IEEE WORKSHOP ON SOFTWARE TECHNOLOGIES FOR FUTURE EMBEDDED AND UBIQUITOUS SYSTEMS, PROCEEDINGS","Second Ieee Workshop On Software Technologies For Future Embedded And Ubiquitous Systems, Proceedings"
portuguese conference on artificial intelligence,Portuguese Conference On Artificial Intelligence
Efficient parallel computation of ILU(k) preconditioners,Efficient Parallel Computation Of Ilu(K) Preconditioners
IJCAR Doctoral Programme,Ijcar Doctoral Programme
International Conference on Computers for Handicapped Persons,International Conference On Computers For Handicapped Persons
IEEE Transactions on Power Systems,Ieee Transactions On Power Systems
UPSEC,Upsec
2015 IEEE International Conference on Smart City/SocialCom/SustainCom (SmartCity),Ieee International Conference On Smart City/Socialcom/Sustaincom
IEEE Journal of Radio Frequency Identification,Ieee Journal Of Radio Frequency Identification
"NATURAL LANGUAGE PROCESSING AND COGNITIVE SCIENCE, PROCEEDINGS","Natural Language Processing And Cognitive Science, Proceedings"
2015 IEEE 34th Symposium on Reliable Distributed Systems (SRDS),Ieee Symposium On Reliable Distributed Systems
"Intelligent Software Methodologies, Tools and Techniques","Intelligent Software Methodologies, Tools And Techniques"
HYBRID ARTIFICIAL INTELLIGENT SYSTEMS (HAIS 2018),Hybrid Artificial Intelligent Systems
RECONFIG '05 Proceedings of the 2005 International Conference on Reconfigurable Computing and FPGAs (ReConFig'05) on Reconfigurable Computing and FPGAs,Reconfig Proceedings Of The International Conference On Reconfigurable Computing And Fpgas On Reconfigurable Computing And Fpgas
SOFT COMPUTING APPLICATIONS,Soft Computing Applications
International Journal of Critical Computer-Based Systems,International Journal Of Critical Computer-Based Systems
"COMPUTATIONAL SCIENCE AND ITS APPLICATIONS - ICCSA 2011, PT I","Computational Science And Its Applications - Iccsa , Pt"
Computational Intelligence and Virtual Environments for Measurement Systems and Applications,Computational Intelligence And Virtual Environments For Measurement Systems And Applications
Discrete Applied Mathematics - Special issue on the combinatorial optimization symposium,Discrete Applied Mathematics - Special On The Combinatorial Optimization Symposium
